0.010,0.000,43.780
0.010,0.000,91.540
0.010,0.000,48.120
0.010,0.000,68.940
0.010,0.000,81.860
0.050,0.000,97.100
0.050,0.000,90.320
0.050,0.000,93.120
0.050,0.000,0.500
0.050,0.000,98.640
0.100,0.000,0.200
0.100,0.000,0.120
0.100,0.000,0.040
0.100,0.000,96.600
0.100,0.000,0.640
0.300,0.000,99.800
0.300,0.000,0.000
0.300,0.000,0.000
0.300,0.000,0.000
0.300,0.000,0.000
0.100,0.010,13.520
0.100,0.010,94.180
0.100,0.010,65.960
0.100,0.010,79.900
0.100,0.010,0.100
0.100,0.100,21.020
0.100,0.100,68.720
0.100,0.100,66.600
0.100,0.100,23.380
0.100,0.100,44.960
0.100,0.200,18.140
0.100,0.200,13.920
0.100,0.200,26.280
0.100,0.200,15.520
0.100,0.200,28.440
