76%,75%,80%,80%,81%,81%,82%,82%,82%,83%,83%,83%,84%,84%,84%,83%,84%,83%,83%,83%,84%,84%,84%,84%,84%,84%,85%,84%,85%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
84%,85%,89%,91%,92%,93%,93%,93%,94%,94%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
67%,70%,72%,74%,74%,75%,75%,75%,75%,76%,77%,76%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,76%,76%,76%,76%,76%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,78%
73%,77%,79%,82%,82%,83%,84%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,87%,87%,87%,87%,87%,88%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%
85%,87%,88%,91%,91%,92%,92%,93%,93%,94%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
81%,84%,84%,84%,85%,85%,85%,85%,84%,84%,85%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
84%,84%,87%,89%,90%,91%,92%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
55%,57%,60%,62%,62%,62%,62%,63%,64%,64%,65%,65%,65%,65%,65%,65%,65%,65%,64%,64%,65%,65%,65%,65%,65%,65%,65%,65%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%,66%
80%,81%,83%,82%,83%,84%,85%,86%,86%,86%,86%,87%,87%,87%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
89%,89%,91%,91%,90%,90%,90%,91%,91%,91%,91%,92%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
