53%,65%,69%,70%,70%,72%,73%,75%,76%,77%,78%,79%,78%,79%,80%,80%,80%,81%,81%,81%,81%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%
60%,68%,73%,76%,77%,79%,79%,79%,80%,81%,81%,81%,81%,82%,82%,82%,83%,83%,83%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
38%,43%,46%,46%,50%,50%,49%,52%,54%,54%,54%,55%,56%,56%,56%,57%,57%,57%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,59%,59%,59%,59%,60%,60%,60%,60%,60%,60%,60%,60%,61%,61%,61%,61%,61%,61%,61%,61%
73%,79%,80%,82%,84%,85%,87%,88%,88%,88%,89%,89%,89%,89%,90%,90%,90%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
41%,50%,55%,56%,56%,57%,59%,61%,62%,64%,65%,65%,65%,65%,66%,65%,66%,66%,66%,67%,67%,67%,67%,68%,68%,68%,68%,67%,67%,68%,67%,68%,68%,68%,68%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,70%,70%,70%,70%,70%
70%,65%,67%,71%,71%,73%,73%,73%,74%,74%,75%,75%,76%,77%,78%,78%,78%,78%,78%,79%,79%,79%,80%,80%,80%,80%,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%
77%,82%,85%,87%,89%,89%,91%,91%,91%,92%,92%,93%,93%,93%,93%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%
61%,69%,72%,74%,77%,77%,77%,79%,80%,81%,81%,82%,83%,83%,83%,83%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%
75%,79%,82%,82%,84%,84%,85%,86%,86%,86%,86%,87%,87%,87%,88%,88%,88%,87%,87%,88%,88%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
74%,71%,73%,72%,75%,77%,78%,78%,78%,78%,79%,80%,79%,79%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,82%,82%,82%
75%,77%,80%,82%,82%,82%,82%,82%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%
73%,77%,75%,77%,77%,79%,80%,80%,81%,81%,82%,82%,81%,82%,82%,82%,83%,83%,83%,83%,84%,83%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
76%,81%,84%,86%,87%,88%,88%,89%,89%,90%,90%,90%,90%,91%,91%,91%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
75%,82%,83%,84%,86%,87%,88%,89%,89%,90%,90%,90%,90%,91%,91%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%
71%,73%,71%,75%,76%,78%,78%,79%,80%,79%,79%,79%,80%,80%,81%,81%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,86%,85%,85%,85%,85%,86%,86%,86%
71%,76%,79%,82%,84%,85%,85%,86%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
79%,86%,87%,88%,89%,89%,90%,90%,90%,90%,90%,90%,91%,91%,91%,92%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%
66%,72%,75%,77%,78%,80%,80%,80%,80%,81%,81%,81%,82%,83%,83%,84%,84%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%
69%,74%,77%,79%,80%,81%,82%,82%,83%,84%,83%,84%,84%,84%,85%,85%,85%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%
70%,73%,76%,78%,80%,81%,82%,83%,84%,84%,84%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%
76%,80%,81%,81%,83%,84%,84%,84%,84%,85%,86%,86%,87%,87%,87%,87%,88%,88%,88%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%
55%,59%,63%,63%,65%,67%,69%,71%,72%,73%,74%,74%,74%,74%,74%,74%,75%,75%,75%,75%,75%,76%,77%,77%,77%,77%,77%,77%,78%,78%,78%,78%,78%,78%,78%,78%,78%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%
66%,77%,81%,83%,85%,86%,87%,87%,88%,89%,89%,89%,90%,90%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%
69%,76%,79%,80%,79%,79%,81%,81%,80%,81%,81%,81%,82%,82%,82%,81%,81%,81%,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%
53%,60%,64%,63%,64%,67%,67%,68%,68%,70%,70%,70%,71%,71%,72%,72%,71%,71%,72%,72%,72%,72%,72%,72%,72%,72%,73%,73%,73%,73%,73%,73%,74%,74%,74%,74%,74%,74%,74%,74%,73%,73%,73%,73%,74%,74%,74%,74%,74%,74%
71%,75%,80%,81%,82%,82%,83%,83%,84%,84%,84%,85%,85%,85%,85%,85%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%
81%,82%,84%,84%,85%,86%,87%,87%,88%,89%,89%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,92%,92%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
57%,68%,71%,74%,77%,78%,79%,81%,82%,83%,83%,84%,84%,84%,85%,85%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%
75%,82%,85%,88%,89%,91%,91%,92%,92%,93%,93%,94%,94%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
76%,81%,83%,83%,85%,86%,87%,88%,88%,89%,89%,90%,90%,90%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%
77%,84%,87%,86%,88%,89%,90%,90%,91%,91%,91%,92%,92%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
