87%,92%,91%,93%,93%,94%,94%,94%,95%,95%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%
90%,94%,96%,97%,97%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
68%,79%,78%,81%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,82%,82%,82%,82%,82%
80%,88%,91%,91%,92%,93%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
79%,77%,81%,81%,83%,84%,84%,83%,83%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
92%,94%,93%,94%,94%,95%,95%,95%,96%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
77%,80%,80%,79%,77%,78%,79%,79%,78%,79%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,82%,82%,81%,82%,82%,82%,82%,82%,82%,81%,82%,82%,82%,82%,82%,82%,81%,82%,82%
83%,85%,87%,89%,89%,90%,89%,89%,89%,90%,90%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
91%,94%,96%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
88%,92%,93%,94%,94%,95%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,97%,98%,98%,98%,98%,98%,98%,98%,97%,97%,97%,97%
91%,94%,95%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
77%,82%,87%,88%,89%,89%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
