52%,55%,53%,54%,51%,52%,52%,53%,54%,56%,56%,56%,56%,57%,58%,58%,58%,58%,58%,58%,59%,59%,59%,59%,59%,59%,59%,59%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%
90%,93%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,95%,96%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%
86%,90%,92%,92%,93%,93%,92%,92%,92%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
76%,73%,71%,70%,71%,73%,73%,71%,71%,71%,71%,71%,72%,72%,71%,71%,71%,72%,71%,71%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,73%,73%,73%,72%,73%,73%
83%,88%,90%,91%,90%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,91%,92%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
85%,88%,88%,89%,89%,88%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
85%,89%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
87%,91%,92%,92%,92%,91%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,93%,93%,93%,94%,94%,94%,94%,94%,94%
76%,83%,84%,83%,84%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
79%,81%,81%,80%,81%,81%,82%,82%,83%,82%,83%,83%,83%,84%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%
91%,95%,97%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
66%,74%,77%,80%,82%,82%,83%,83%,84%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,86%,86%,86%,86%,86%,86%,87%,87%,87%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
67%,68%,69%,70%,69%,68%,68%,67%,68%,68%,68%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,68%,67%,68%,67%,68%,68%,67%,68%,68%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,68%,67%,67%,67%,67%
91%,93%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,95%,96%,96%,95%
82%,84%,87%,87%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%
66%,69%,73%,74%,75%,76%,77%,78%,78%,79%,78%,78%,79%,78%,79%,79%,79%,79%,79%,79%,79%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,77%,78%,77%,78%,78%,78%,78%,78%,78%,78%,78%,78%
91%,94%,96%,97%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
91%,95%,97%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
88%,89%,90%,91%,90%,90%,91%,91%,90%,90%,90%,91%,91%,90%,90%,91%,91%,91%,91%,91%,90%,90%,90%,90%,90%,90%,91%,91%,90%,91%,91%,91%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,90%
75%,81%,82%,83%,83%,84%,84%,85%,84%,84%,85%,84%,84%,85%,85%,85%,85%,85%,85%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
77%,80%,80%,80%,80%,78%,78%,78%,79%,80%,80%,80%,80%,80%,80%,80%,80%,81%,80%,80%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%
91%,95%,97%,97%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%
92%,95%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
87%,89%,90%,90%,90%,90%,90%,91%,90%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
74%,83%,85%,86%,86%,87%,87%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%
63%,69%,70%,71%,72%,72%,73%,73%,73%,72%,73%,72%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,73%,73%,73%,73%
85%,89%,90%,91%,91%,92%,91%,92%,92%,92%,91%,91%,92%,91%,92%,92%,92%,92%,92%,92%,92%,92%,93%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
71%,71%,72%,71%,73%,72%,73%,74%,74%,74%,73%,74%,75%,75%,74%,75%,75%,75%,75%,75%,76%,76%,76%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,76%,76%,76%,75%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
69%,73%,74%,76%,75%,76%,74%,74%,75%,76%,76%,76%,75%,75%,75%,75%,75%,75%,74%,75%,75%,75%,74%,74%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%
90%,94%,96%,96%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
75%,79%,78%,80%,81%,83%,83%,83%,84%,84%,84%,84%,84%,84%,85%,84%,85%,84%,85%,85%,85%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
91%,95%,97%,97%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
90%,93%,94%,93%,93%,93%,93%,94%,94%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,95%,96%,96%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
89%,93%,94%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
91%,95%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
52%,47%,46%,47%,48%,48%,47%,47%,47%,47%,47%,47%,46%,46%,46%,46%,47%,47%,47%,47%,46%,46%,47%,46%,46%,46%,46%,47%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%
81%,81%,82%,84%,85%,85%,86%,87%,88%,88%,88%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
